name	gc_skew	gc_content	length	at_skew	at_content	cluster_length	cluster_nuc	clustering_method	reverse_complement	role
init-1	0.1	.40	200	NA	NA	NA	NA	NA	1	initiation_region_1
init-2	0.4	.70	200	NA	NA	NA	NA	NA	1	initiation_region_2
init-3	0.6	.60	200	NA	NA	NA	NA	NA	1	initiation_region_3
init-4	0.1	.70	200	NA	NA	NA	NA	NA	1	initiation_region_4
init-5	0	.60	200	NA	NA	NA	NA	NA	1	initiation_region_5
init-6	0.2	.40	200	NA	NA	NA	NA	NA	1	initiation_region_6
init-7	0.4	.60	200	NA	NA	NA	NA	NA	1	initiation_region_7
init-8	0.6	.50	200	NA	NA	NA	NA	NA	1	initiation_region_8
init-9	0.1	.60	200	NA	NA	NA	NA	NA	1	initiation_region_9
init-10	0	.50	200	NA	NA	NA	NA	NA	1	initiation_region_10
init-11	0.2	.70	200	NA	NA	NA	NA	NA	1	initiation_region_11
init-12	0.4	.50	200	NA	NA	NA	NA	NA	1	initiation_region_12
init-13	0.2	.60	200	NA	NA	NA	NA	NA	1	initiation_region_13
init-14	0.1	.50	200	NA	NA	NA	NA	NA	1	initiation_region_14
init-15	0	.40	200	NA	NA	NA	NA	NA	1	initiation_region_15
init-16	0.6	.40	200	NA	NA	NA	NA	NA	1	initiation_region_16
init-17	0.6	.70	200	NA	NA	NA	NA	NA	1	initiation_region_17
init-18	0	.70	200	NA	NA	NA	NA	NA	1	initiation_region_18
init-19	0.4	.40	200	NA	NA	NA	NA	NA	1	initiation_region_19
init-20	0.2	.50	200	NA	NA	NA	NA	NA	1	initiation_region_20
init-51	0.3	0.4	200	NA	NA	NA	NA	NA	1	initiation_region_13
init-52	0.3	0.5	200	NA	NA	NA	NA	NA	1	initiation_region_14
init-53	0.3	0.6	200	NA	NA	NA	NA	NA	1	initiation_region_15
init-54	0.3	0.7	200	NA	NA	NA	NA	NA	1	initiation_region_16
init-55	0.5	0.4	200	NA	NA	NA	NA	NA	1	initiation_region_17
init-56	0.5	0.5	200	NA	NA	NA	NA	NA	1	initiation_region_18
init-57	0.5	0.6	200	NA	NA	NA	NA	NA	1	initiation_region_19
init-58	0.5	0.7	200	NA	NA	NA	NA	NA	1	initiation_region_20
